canonical_service,service_family,platform_count,platforms,raw_label_count
Check Any Tradesperson,Other / Unmapped,1,Checkatrade,1
Checkatrade Standard,Other / Unmapped,1,Checkatrade,1
Chef,Other / Unmapped,1,Airtasker,1
Chelmsford,Other / Unmapped,1,MyJobQuote,1
Cherry Picker,Other / Unmapped,1,Checkatrade,1
Cheshire,Other / Unmapped,1,Rated People,1
Chicken Runs,Other / Unmapped,1,Airtasker,1
Chicken Takeaway,Other / Unmapped,1,Airtasker,1
Childcare & Safety,Other / Unmapped,1,Airtasker,1
Childminders,Other / Unmapped,1,Airtasker,1
Chimney Cowlings Installation,Other / Unmapped,1,Checkatrade,1
Chimney Cowlings Repair,Other / Unmapped,1,Checkatrade,1
Chimney Relining,Other / Unmapped,1,Checkatrade,1
Chimney Repair,Other / Unmapped,1,Airtasker,1
Chimney Services,Other / Unmapped,1,Airtasker,1
Chimneys Installation,Other / Unmapped,1,Checkatrade,1
Chimneys Repair,Other / Unmapped,1,Checkatrade,1
Chinese Takeaway,Other / Unmapped,1,Airtasker,1
Chinese Takeaways,Other / Unmapped,1,Yell,1
Chiropodists and podiatrists,Other / Unmapped,1,Yell,1
Chisel Sharpening,Other / Unmapped,1,Airtasker,1
Chocolate Delivery,Other / Unmapped,1,Airtasker,1
Christmas Gift Delivery,Other / Unmapped,1,Airtasker,1
Christmas Light Installations,Other / Unmapped,1,Airtasker,1
Christmas Tree Delivery,Other / Unmapped,1,Airtasker,1
Christmas Tree Disposal,Other / Unmapped,1,Airtasker,1
Circuit Board Repair,Other / Unmapped,1,Airtasker,1
City of Aberdeen,Other / Unmapped,1,Rated People,1
City of Dundee,Other / Unmapped,1,Rated People,1
City of Edinburgh,Other / Unmapped,1,Rated People,1
City of Glasgow,Other / Unmapped,1,Rated People,1
Clackmannan,Other / Unmapped,1,Rated People,1
Cladding Installers,Other / Unmapped,1,Checkatrade,1
Cladding Repairs,Other / Unmapped,1,Airtasker,1
Cladding Replacement,Other / Unmapped,1,Airtasker,1
Classic Car Restoration,Other / Unmapped,1,Checkatrade,1
Clearance Services,Other / Unmapped,1,Airtasker,1
Climbing Frame Installer,Other / Unmapped,1,Airtasker,1
