borough_code,borough,ons_industry_group,local_unit_count
E09000025,Newham,46 : Wholesale,660
E09000025,Newham,47 : Retail,2175
E09000025,Newham,49-53 : Transport & Storage (inc. postal),845
E09000025,Newham,55-56 : Accommodation & food services,1165
E09000025,Newham,58-63 : Information & communication,1290
E09000025,Newham,64-66 : Finance & insurance,145
E09000025,Newham,68 : Property,625
E09000025,Newham,"69-75 : Professional, scientific & technical",1690
E09000025,Newham,77-82 : Business administration & support services,1450
E09000025,Newham,84 : Public administration & defence,55
E09000025,Newham,85 : Education,460
E09000025,Newham,86-88 : Health,735
E09000025,Newham,"90-99 : Arts, entertainment, recreation & other services",975
E09000026,Redbridge,"01-03 : Agriculture, forestry & fishing",15
E09000026,Redbridge,05-39 : Production,420
E09000026,Redbridge,41-43 : Construction,2735
E09000026,Redbridge,45 : Motor trades,360
E09000026,Redbridge,46 : Wholesale,635
E09000026,Redbridge,47 : Retail,1625
E09000026,Redbridge,49-53 : Transport & Storage (inc. postal),725
E09000026,Redbridge,55-56 : Accommodation & food services,970
E09000026,Redbridge,58-63 : Information & communication,1405
E09000026,Redbridge,64-66 : Finance & insurance,180
E09000026,Redbridge,68 : Property,1015
E09000026,Redbridge,"69-75 : Professional, scientific & technical",2165
E09000026,Redbridge,77-82 : Business administration & support services,1445
E09000026,Redbridge,84 : Public administration & defence,55
E09000026,Redbridge,85 : Education,420
E09000026,Redbridge,86-88 : Health,985
E09000026,Redbridge,"90-99 : Arts, entertainment, recreation & other services",895
E09000027,Richmond upon Thames,"01-03 : Agriculture, forestry & fishing",25
E09000027,Richmond upon Thames,05-39 : Production,295
E09000027,Richmond upon Thames,41-43 : Construction,960
E09000027,Richmond upon Thames,45 : Motor trades,125
E09000027,Richmond upon Thames,46 : Wholesale,410
E09000027,Richmond upon Thames,47 : Retail,1075
E09000027,Richmond upon Thames,49-53 : Transport & Storage (inc. postal),230
E09000027,Richmond upon Thames,55-56 : Accommodation & food services,760
E09000027,Richmond upon Thames,58-63 : Information & communication,1725
E09000027,Richmond upon Thames,64-66 : Finance & insurance,205
E09000027,Richmond upon Thames,68 : Property,660
E09000027,Richmond upon Thames,"69-75 : Professional, scientific & technical",3350
E09000027,Richmond upon Thames,77-82 : Business administration & support services,1185
E09000027,Richmond upon Thames,84 : Public administration & defence,30
E09000027,Richmond upon Thames,85 : Education,355
E09000027,Richmond upon Thames,86-88 : Health,705
E09000027,Richmond upon Thames,"90-99 : Arts, entertainment, recreation & other services",1255
E09000028,Southwark,"01-03 : Agriculture, forestry & fishing",25
E09000028,Southwark,05-39 : Production,630
E09000028,Southwark,41-43 : Construction,1050
E09000028,Southwark,45 : Motor trades,115
E09000028,Southwark,46 : Wholesale,505
E09000028,Southwark,47 : Retail,1620
E09000028,Southwark,49-53 : Transport & Storage (inc. postal),390
E09000028,Southwark,55-56 : Accommodation & food services,1500
E09000028,Southwark,58-63 : Information & communication,2285
E09000028,Southwark,64-66 : Finance & insurance,490
E09000028,Southwark,68 : Property,765
E09000028,Southwark,"69-75 : Professional, scientific & technical",3960
E09000028,Southwark,77-82 : Business administration & support services,1815
E09000028,Southwark,84 : Public administration & defence,55
E09000028,Southwark,85 : Education,440
E09000028,Southwark,86-88 : Health,920
E09000028,Southwark,"90-99 : Arts, entertainment, recreation & other services",1685
E09000029,Sutton,"01-03 : Agriculture, forestry & fishing",25
