platform,raw_service,geography_scope,source_url,source_type,collection_date,coverage_note,platform_key,service_key,comparison_key,source_version
Rated People,For tradespeople,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,for tradespeople,rated people||for tradespeople,V2
Rated People,Garage Conversion,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,garage conversion,rated people||garage conversion,V2
Rated People,Garage Doors - Installation / Repair,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,garage doors - installation repair,rated people||garage doors - installation repair,V2
Rated People,Garden Clearance,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,garden clearance,rated people||garden clearance,V2
Rated People,Garden Design,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,garden design,rated people||garden design,V2
Rated People,Garden Maintenance,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,garden maintenance,rated people||garden maintenance,V2
Rated People,Garden Office / Studio Construction,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,garden office studio construction,rated people||garden office studio construction,V2
Rated People,Garden Shed / Playhouse,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,garden shed playhouse,rated people||garden shed playhouse,V2
Rated People,Garden Wall,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,garden wall,rated people||garden wall,V2
Rated People,Gas Boiler - Installation,London,https://www.ratedpeople.com/sitemap/trades/a,alphabetical_trade_sitemap,2026-09-05,Public A-Z trade and skill sitemap.,rated people,gas boiler - installation,rated people||gas boiler - installation,V2
