borough_code,borough,service_family,vendor_supply_proxy,ons_group_count,borough_supply_rank,borough_supply_percentile
E09000021,Kingston upon Thames,Bathroom Services,1060,1,28,18.2
E09000028,Southwark,Bathroom Services,1050,1,29,15.2
E09000027,Richmond upon Thames,Bathroom Services,960,1,30,12.1
E09000001,City of London,Bathroom Services,905,1,31,9.1
E09000013,Hammersmith and Fulham,Bathroom Services,845,1,32,6.1
E09000020,Kensington and Chelsea,Bathroom Services,835,1,33,3.0
E09000033,Westminster,Beauty & Personal Care,5495,1,1,100.0
E09000007,Camden,Beauty & Personal Care,3760,1,2,97.0
E09000019,Islington,Beauty & Personal Care,2150,1,3,93.9
E09000012,Hackney,Beauty & Personal Care,2055,1,4,90.9
E09000003,Barnet,Beauty & Personal Care,1825,1,5,87.9
E09000028,Southwark,Beauty & Personal Care,1685,1,6,84.8
E09000032,Wandsworth,Beauty & Personal Care,1575,1,7,81.8
E09000030,Tower Hamlets,Beauty & Personal Care,1500,1,8,78.8
E09000022,Lambeth,Beauty & Personal Care,1480,1,9,75.8
E09000014,Haringey,Beauty & Personal Care,1450,1,10,72.7
E09000020,Kensington and Chelsea,Beauty & Personal Care,1400,1,11,69.7
E09000009,Ealing,Beauty & Personal Care,1350,1,12,66.7
E09000006,Bromley,Beauty & Personal Care,1335,1,13,63.6
E09000013,Hammersmith and Fulham,Beauty & Personal Care,1265,1,14,60.6
E09000027,Richmond upon Thames,Beauty & Personal Care,1255,1,15,57.6
E09000005,Brent,Beauty & Personal Care,1230,1,16,54.5
E09000008,Croydon,Beauty & Personal Care,1180,1,17,51.5
E09000023,Lewisham,Beauty & Personal Care,1175,1,18,48.5
E09000010,Enfield,Beauty & Personal Care,1160,1,19,45.5
E09000001,City of London,Beauty & Personal Care,1095,1,20,42.4
E09000031,Waltham Forest,Beauty & Personal Care,1070,1,21,39.4
E09000011,Greenwich,Beauty & Personal Care,980,1,22,36.4
E09000025,Newham,Beauty & Personal Care,975,1,23,33.3
E09000018,Hounslow,Beauty & Personal Care,965,1,24,30.3
E09000017,Hillingdon,Beauty & Personal Care,950,1,25,27.3
E09000026,Redbridge,Beauty & Personal Care,895,1,26,24.2
E09000015,Harrow,Beauty & Personal Care,865,1,27,21.2
E09000024,Merton,Beauty & Personal Care,825,1,28,18.2
E09000016,Havering,Beauty & Personal Care,735,1,29,15.2
E09000021,Kingston upon Thames,Beauty & Personal Care,670,1,30,12.1
E09000029,Sutton,Beauty & Personal Care,620,1,31,9.1
E09000004,Bexley,Beauty & Personal Care,615,1,32,6.1
E09000002,Barking and Dagenham,Beauty & Personal Care,445,1,33,3.0
E09000033,Westminster,Beauty & Skincare,2020,1,1,100.0
E09000007,Camden,Beauty & Skincare,1490,1,2,97.0
E09000003,Barnet,Beauty & Skincare,1475,1,3,93.9
E09000008,Croydon,Beauty & Skincare,1175,1,4,90.9
E09000019,Islington,Beauty & Skincare,995,1,5,87.9
E09000012,Hackney,Beauty & Skincare,990,1,6,84.8
E09000026,Redbridge,Beauty & Skincare,985,1,7,81.8
E09000015,Harrow,Beauty & Skincare,960,1,8,78.8
E09000022,Lambeth,Beauty & Skincare,955,1,9,75.8
E09000006,Bromley,Beauty & Skincare,945,1,10,72.7
E09000009,Ealing,Beauty & Skincare,925,1,11,69.7
E09000028,Southwark,Beauty & Skincare,920,1,12,66.7
